event_id,source_type,source,source_url,city,date,title_or_name,lat,lon,severity,frequency_tier,extraction_method,confidence
delhi-hs003,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Moolchand underpass,28.56562,77.23264,chronic,chronic,curated+geocoded,high
delhi-hs005,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Pragati Maidan,28.61724,77.24346,chronic,chronic,curated+geocoded,high
delhi-hs007,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Sarai Kale Khan,28.58919,77.25807,recurring,recurring,curated+geocoded,medium
delhi-hs008,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Mathura Road,28.51057,77.2989,recurring,recurring,curated+geocoded,medium
delhi-hs009,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Mukarba Chowk,28.73491,77.15548,recurring,recurring,curated+geocoded,medium
delhi-hs010,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Azadpur,28.70704,77.18037,recurring,recurring,curated+geocoded,medium
delhi-hs011,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Dhaula Kuan,28.59187,77.16172,recurring,recurring,curated+geocoded,medium
delhi-hs012,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Karol Bagh,28.653,77.18902,recurring,recurring,curated+geocoded,medium
delhi-hs013,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Najafgarh,28.61245,76.98651,recurring,recurring,curated+geocoded,medium
delhi-hs014,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Okhla underpass,28.53816,77.28856,recurring,recurring,curated+geocoded,medium
delhi-hs015,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Sangam Vihar,28.50571,77.24847,recurring,recurring,curated+geocoded,medium
delhi-hs016,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Khanpur,28.5128,77.23239,recurring,recurring,curated+geocoded,medium
delhi-hs017,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Sarita Vihar underpass,28.53816,77.28856,recurring,recurring,curated+geocoded,medium
delhi-hs020,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Subhash Chowk,28.42772,77.03711,recurring,recurring,curated+geocoded,medium
delhi-hs021,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Rajiv Chowk,28.44747,77.03284,recurring,recurring,curated+geocoded,medium
delhi-hs022,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Golf Course Road,28.46309,77.0952,recurring,recurring,curated+geocoded,medium
delhi-hs023,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Signature Tower Chowk underpass,28.467,77.06016,recurring,recurring,curated+geocoded,medium
delhi-hs025,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,GT Road Vijay Nagar,28.67699,77.34237,recurring,recurring,curated+geocoded,medium
delhi-hs028,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),delhi,,Indirapuram,28.63805,77.36442,recurring,recurring,curated+geocoded,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoonal rain),,,2,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Heavy rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Heavy rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Heavy rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Heavy rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoonal rain),,,2,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoonal rain),,,2,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Heavy rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoonal rain),,,2,,gee_global_flood_db,medium
